DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
22.0000	8.5538	11.8665	14.5894	20.2118	7.3421	12.2635
22.1000	8.4143	11.6238	13.4401	18.8940	7.3326	11.7373
22.2000	8.2876	11.3657	12.6135	17.7611	7.3353	11.3539
22.3000	8.1903	11.1163	11.9799	16.7821	7.3565	11.0976
22.4000	8.1243	10.9038	11.2401	15.9965	7.4174	10.9824
22.5000	8.0759	10.6967	10.5865	15.3086	7.4740	10.9175
22.6000	8.0315	10.4835	10.2812	14.6810	7.5316	10.8617
22.7000	7.9670	10.2789	10.0349	14.1953	7.6292	10.8900
22.8000	7.9022	10.0893	9.8592	13.8372	7.7451	11.0009
22.9000	7.8403	9.9130	9.8113	13.4899	7.8189	11.0781
23.0000	7.8094	9.7564	9.7659	13.1486	7.8751	11.1219
23.1000	7.8024	9.6270	9.5329	12.8341	7.9473	11.1692
23.2000	7.7889	9.5048	9.2950	12.5177	8.0155	11.2006
23.3000	7.7494	9.3703	9.2901	12.1730	8.0560	11.1969
23.4000	7.6979	9.2430	9.3261	11.8540	8.0930	11.2124
23.5000	7.6662	9.1300	9.1997	11.5581	8.1133	11.2297
23.6000	7.6643	9.0329	9.0436	11.2126	8.0899	11.1850
23.7000	7.6715	8.9555	8.8977	10.8290	8.0462	11.0858
23.8000	7.6745	8.8955	8.7403	10.5032	8.0368	11.0126
23.9000	7.6483	8.8369	8.6311	10.2403	8.0488	10.9781
24.0000	7.6028	8.7640	8.7063	10.0142	8.0632	10.9596
24.1000	7.5507	8.6946	8.8073	9.8288	8.0734	10.9514
24.2000	7.5236	8.6424	8.7889	9.6696	8.0721	10.9425
24.3000	7.5227	8.5938	8.7215	9.4952	8.0460	10.8859
24.4000	7.5285	8.5418	8.6630	9.3069	8.0125	10.7932
24.5000	7.5302	8.4860	8.6374	9.1575	8.0090	10.7162
24.6000	7.5089	8.4265	8.6256	9.0626	8.0386	10.6769
24.7000	7.4716	8.3628	8.7012	8.9932	8.0741	10.6589
24.8000	7.4367	8.3056	8.8151	8.9415	8.1086	10.6485
24.9000	7.4160	8.2601	8.8142	8.9174	8.1411	10.6458
25.0000	7.4148	8.2167	8.7670	8.8846	8.1573	10.6183
