DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
22.7000	7.9685	10.2875	10.0242	14.1833	7.6373	10.8650
22.8000	7.9039	10.0979	9.8625	13.8251	7.7513	10.9795
22.9000	7.8420	9.9218	9.8034	13.4828	7.8262	11.0533
23.0000	7.8109	9.7648	9.7707	13.1355	7.8810	11.0995
23.1000	7.8038	9.6356	9.5267	12.8259	7.9549	11.1459
23.2000	7.7902	9.5133	9.2914	12.5068	8.0204	11.1804
23.3000	7.7510	9.3788	9.2887	12.1660	8.0626	11.1751
23.4000	7.6996	9.2512	9.3300	11.8427	8.0982	11.1919
23.5000	7.6676	9.1383	9.1913	11.5507	8.1200	11.2101
23.6000	7.6656	9.0411	9.0471	11.2042	8.0936	11.1670
23.7000	7.6729	8.9638	8.8914	10.8206	8.0519	11.0657
23.8000	7.6761	8.9034	8.7446	10.4949	8.0409	10.9971
23.9000	7.6497	8.8449	8.6215	10.2340	8.0536	10.9617
24.0000	7.6042	8.7718	8.7112	10.0070	8.0669	10.9445
24.1000	7.5520	8.7022	8.8034	9.8221	8.0781	10.9358
24.2000	7.5248	8.6497	8.7868	9.6623	8.0764	10.9288
24.3000	7.5240	8.6009	8.7202	9.4904	8.0500	10.8722
24.4000	7.5297	8.5482	8.6606	9.2995	8.0161	10.7804
24.5000	7.5313	8.4923	8.6372	9.1513	8.0133	10.7035
24.6000	7.5098	8.4323	8.6228	9.0560	8.0428	10.6658
24.7000	7.4723	8.3684	8.6985	8.9869	8.0783	10.6478
24.8000	7.4375	8.3098	8.8186	8.9356	8.1132	10.6378
24.9000	7.4168	8.2646	8.8091	8.9110	8.1456	10.6365
25.0000	7.4152	8.2209	8.7678	8.8788	8.1615	10.6094
